,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,País Vasco
2020-03-04,,,,,1.0,,,,,,,,,,,,,,
2020-03-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-03-09,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0
2020-03-10,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,6.0
2020-03-11,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,6.0
2020-03-12,0.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,56.0,0.0,0.0,0.0,11.0
2020-03-13,0.0,7.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,81.0,0.0,0.0,0.0,14.0
2020-03-14,2.0,7.0,1.0,1.0,4.0,1.0,0.0,6.0,3.0,6.0,0.0,2.0,0.0,3.0,86.0,0.0,0.0,0.0,14.0
2020-03-15,6.0,7.0,1.0,1.0,5.0,1.0,0.0,10.0,6.0,8.0,0.0,2.0,2.0,3.0,213.0,0.0,0.0,0.0,23.0
2020-03-16,7.0,11.0,1.0,1.0,5.0,1.0,0.0,17.0,9.0,12.0,0.0,2.0,2.0,4.0,213.0,0.0,0.0,1.0,23.0
2020-03-17,11.0,12.0,1.0,1.0,13.0,2.0,0.0,17.0,12.0,18.0,0.0,3.0,3.0,5.0,355.0,0.0,0.0,2.0,36.0
2020-03-18,19.0,13.0,1.0,1.0,22.0,3.0,1.0,28.0,22.0,41.0,0.0,6.0,3.0,5.0,390.0,0.0,0.0,3.0,40.0
2020-03-19,23.0,15.0,1.0,2.0,24.0,3.0,1.0,42.0,29.0,55.0,0.0,8.0,4.0,5.0,498.0,0.0,0.0,4.0,53.0
2020-03-20,30.0,17.0,2.0,2.0,33.0,4.0,1.0,62.0,43.0,82.0,0.0,10.0,5.0,7.0,628.0,0.0,0.0,5.0,71.0
2020-03-21,40.0,22.0,5.0,4.0,50.0,7.0,2.0,84.0,55.0,122.0,0.0,12.0,9.0,15.0,804.0,0.0,1.0,9.0,85.0
2020-03-22,47.0,24.0,8.0,4.0,69.0,9.0,5.0,112.0,74.0,191.0,0.0,14.0,12.0,18.0,1021.0,0.0,1.0,14.0,97.0
2020-03-23,58.0,32.0,12.0,10.0,94.0,11.0,6.0,145.0,102.0,245.0,0.0,18.0,18.0,22.0,1263.0,0.0,2.0,24.0,120.0
2020-03-24,87.0,37.0,22.0,10.0,115.0,16.0,9.0,216.0,124.0,282.0,0.0,26.0,20.0,30.0,1535.0,0.0,3.0,31.0,133.0
