,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,País Vasco
2020-03-02,12,0,1,2,15,7,10,3,3,15,0,6,0,1,29,0,0,1,9
2020-03-03,13,0,1,2,15,7,10,7,8,15,0,6,0,3,49,0,0,1,13
2020-03-04,13,0,2,5,19,7,10,12,11,15,0,6,1,7,70,0,0,3,17
2020-03-05,12,1,5,6,19,8,10,13,11,24,0,6,1,11,90,0,0,3,17
2020-03-06,21,6,5,6,30,11,10,15,14,24,0,6,3,29,137,0,0,3,45
2020-03-09,54,13,7,11,37,22,12,26,23,75,0,7,6,81,469,0,4,3,149
2020-03-10,71,38,22,13,50,25,12,39,56,124,0,8,22,144,782,0,9,12,195
2020-03-11,90,45,32,16,65,37,12,71,71,156,0,9,39,179,1024,0,11,46,225
2020-03-12,115,64,47,22,76,51,16,115,92,260,0,19,35,205,1388,0,26,73,346
2020-03-13,219,80,67,30,94,70,29,194,169,316,0,39,85,243,1990,2,35,130,417
2020-03-14,269,80,92,28,130,90,31,289,223,509,0,66,115,278,2940,3,47,146,417
2020-03-15,437,147,137,28,409,109,51,401,292,715,1,95,195,300,3544,8,71,183,630
2020-03-16,554,174,177,73,409,119,58,567,334,903,1,111,245,312,4165,8,77,274,630
2020-03-17,683,207,193,92,541,148,58,567,431,1394,1,153,292,355,4871,17,97,313,765
2020-03-18,859,226,242,112,726,181,68,675,668,1866,1,194,341,419,5637,20,122,386,973
2020-03-19,1008,281,292,169,921,220,83,801,868,2702,1,241,453,468,6777,23,167,482,1190
2020-03-20,1287,360,344,203,1105,287,144,1044,1147,3270,5,297,578,497,7165,24,204,554,1465
2020-03-21,1515,424,486,246,1363,348,215,1423,1466,4203,5,354,739,564,8921,25,240,664,1725
2020-03-22,1725,532,545,331,1604,414,282,1819,1744,4704,5,384,915,654,9702,25,296,794,2097
2020-03-23,1961,638,594,400,1901,481,347,2078,2055,5925,6,493,1208,747,10575,28,345,886,2421
