CCAA,Total casos,IA (casos/100.000 habitantes),Ingreso en UCI,Fallecidos
Andalucía,13,"0,15",1,
Aragón,0,"0,00",,
Asturias,2,"0,20",1,
Baleares,5,"0,43",,
Canarias,7,"0,33",,
Cantabria,10,"1,72",,
Castilla La Mancha,12,"0,59",1,
Castilla y León,11,"0,46",1,
Cataluña,15,"0,20",,
Ceuta,0,"0,00",,
C. Valenciana,19,"0,38",,1
Extremadura,6,"0,56",,
Galicia,1,"0,04",,
Madrid,70,"1,05",2,
Melilla,0,"0,00",,
Murcia,0,"0,00",,
Navarra,3,"0,46",1,
País Vasco,17,"0,77",,
La Rioja,7,"2,21",,
Total,198,"0,42",7,1
