CCAA,Total casos,IA Total*,Ingreso en UCI,Fallecidos
Andalucía,71,"0,84",1,0
Aragón,38,"2,88",3,3
Asturias,22,"2,15",2,0
Baleares,13,"1,13",1,0
Canarias,25,"1,16",1,0
Cantabria,12,"2,07",0,0
Castilla La Mancha,39,"1,92",2,0
Castilla y León,56,"2,33",2,0
Cataluña,124,"1,62",0,3
Ceuta,0,"0,00",0,0
C. Valenciana,50,"1,00",1,1
Extremadura,8,"0,75",0,0
Galicia,22,"0,81",2,0
Madrid,782,"11,74",77,21
Melilla,0,"0,00",0,0
Murcia,9,"0,60",0,0
Navarra,12,"1,83",2,0
País Vasco,195,"8,83",5,6
La Rioja,144,"45,45",1,1
Total,1.622,"3,48",100,35
