CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,respecto ayer
Andalucía,1.515,"17,68",605,53,40,228
Aragón,424,"31,30",192,33,22,64
Asturias,486,"47,03",133,12,5,142
Baleares,246,"20,88",60,14,4,43
Canarias,348,"15,65",139,29,7,61
Cantabria,215,"35,28",92,9,2,71
Castilla La Mancha,1.423,"69,26",635,65,84,379
Castilla y León,1.466,"60,51",575,85,55,319
Cataluña,4.203,"54,45",1.681,298,122,933
Ceuta,5,"5,90",0,0,0,0
C. Valenciana,1.363,"26,64",476,84,50,258
Extremadura,354,"32,59",65,6,12,57
Galicia,739,"27,26",168,29,9,161
Madrid,8.921,"131,82",7.388,767,804,1.756
Melilla,25,"28,91",8,1,0,1
Murcia,240,"16,07",61,14,1,36
Navarra,664,"101,04",222,25,9,110
País Vasco,1.725,"76,09",654,71,85,260
La Rioja,564,"165,72",128,17,15,67
ESPAÑA,24.926,"52,18",13.282,1.612,1.326,4.946
