CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,Curados,Nuevos
Andalucía,1.961,"22,66",865,77,58,50,236
Aragón,638,"47,37",298,52,32,3,106
Asturias,594,"57,39",194,22,12,21,49
Baleares,400,"33,84",87,27,10,18,69
Canarias,481,"21,32",172,32,11,7,67
Cantabria,347,"57,65",157,14,6,11,65
Castilla La Mancha,2.078,"100,94",1.547,142,145,51,259
Castilla y León,2.055,"84,68",860,120,102,117,311
Cataluña,5.925,"76,22",1.681,551,245,644,1.221
Ceuta,6,"7,08",0,0,0,0,1
C. Valenciana,1.901,"37,25",702,138,94,36,297
Extremadura,493,"45,52",131,13,18,6,109
Galicia,1.208,"44,53",270,47,18,19,293
Madrid,10.575,"151,66",9.561,942,1.263,2.063,873
Melilla,28,"32,37",12,1,0,0,3
Murcia,345,"22,83",80,23,2,1,49
Navarra,886,"134,97",339,40,24,7,92
País Vasco,2.421,"102,91",1.252,92,120,283,324
La Rioja,747,"210,23",166,22,22,18,93
ESPAÑA,33.089,"68,24",18.374,2.355,2.182,3.355,4.517
